timestamp,profile,single_ms,coop_ms,ratio
2026-02-23T00:06:23+09:00,legacy,0.125,0.491,3.928
2026-02-23T09:19:53+09:00,legacy,0.133,0.490,3.684
2026-02-23T09:20:46+09:00,legacy,0.126,0.515,4.087
2026-02-23T23:42:51+09:00,legacy,0.216,0.604,2.796
2026-02-23T23:55:06+09:00,legacy,0.215,0.555,2.581
2026-02-24T09:32:02+09:00,legacy,0.176,0.512,2.909
2026-02-24T10:14:35+09:00,legacy,0.155,0.543,3.503
2026-02-24T10:17:10+09:00,legacy,0.148,0.506,3.419
2026-02-24T10:17:32+09:00,legacy,0.167,0.638,3.820
2026-02-24T15:57:18+09:00,legacy,0.210,0.527,2.510
2026-02-24T16:08:06+09:00,legacy,0.171,0.559,3.269
2026-02-24T17:26:04+09:00,legacy,1.116,0.594,0.532
2026-02-24T17:38:51+09:00,fhd,6.358,12.604,1.982
2026-02-24T18:29:35+09:00,fhd,6.753,13.822,2.047
2026-02-24T18:29:49+09:00,fhd,6.335,12.001,1.894
2026-02-24T20:23:59+09:00,fhd,6.120,11.869,1.939
